loc_index,lat,lng,longitude,latitude,"POI大类:汽车服务,汽车销售,汽车维修,摩托车服务,餐饮服务,购物服务,生活服务,体育休闲服务,医疗保健服务,住宿服务,风景名胜,商务住宅,政府机构及社会团体,科教文化服务,交通设施服务,金融保险服务,公司企业,道路附属设施,地名地址信息,公共设施,事件活动,室内设施,通行设施",地址,addr,addr_tokens,doc2vec,addr_label,geohash
1723,35.805472,112.926933,112.926933,35.805472,"116,11,34,10,858,876,875,115,386,76,16,197,299,328,129,159,297,0,520,29,0,0,213",山西省晋城市高平市东城街道文博街食品小区,高平市东城街道文博街食品小区,高平市东城街道 文博街 食品 小区,"[-0.02175341732800007, 0.033371325582265854, 0.006130717229098082, -0.006628876551985741, -0.013771268539130688, -0.06196008250117302, 0.025600194931030273, 0.07182148844003677, -0.05310824140906334, -0.09103942662477493, 0.0011316112941130996, -0.0890541821718216, 0.006695901975035667, 0.014709594659507275, -0.037929560989141464, 0.0012438819976523519, 0.018664028495550156, 0.006756276823580265, -0.0943615660071373, -0.04214124754071236, -0.055927518755197525, 0.01187723595649004, 0.06259666383266449, -0.016385750845074654, 0.0490274578332901, 0.02072000689804554, 0.01676151528954506, -0.04692168906331062, -0.055626221001148224, 0.028162317350506783, -0.006827185396105051, -0.0018508487846702337, -0.041416484862565994, 0.02516908198595047, -0.059957582503557205, 0.02255607582628727, 0.05294949561357498, 0.014703800901770592, 0.029590703547000885, -0.042330674827098846, 0.06454911082983017, 0.01447774562984705, -0.009857434779405594, 0.0032726554200053215, 0.08610907942056656, 0.03213871642947197, 0.009064584039151669, -0.005431881174445152, -0.019794009625911713, 0.006725760642439127]",高平市东城街道,ww279wnvurb2
1724,35.7828,112.923,112.923,35.7828,"194,52,67,11,870,879,885,102,423,87,17,215,336,361,171,170,411,2,557,30,0,0,223",山西省晋城市高平市南城街道建设南路121号,高平市南城街道建设南路121号,高平市南城街道 建设南路 121 号,"[-0.036770664155483246, 0.08721600472927094, 0.017884649336338043, -0.001694837468676269, -0.012632204219698906, -0.14169222116470337, 0.08345705270767212, 0.16790559887886047, -0.11226207762956619, -0.1925542801618576, -0.004381293896585703, -0.1583952009677887, 0.029934167861938477, 0.04484869912266731, -0.09775708615779877, -0.019805891439318657, 0.01523112878203392, 0.029324639588594437, -0.20871806144714355, -0.10317584127187729, -0.09723635762929916, 0.036890242248773575, 0.11102862656116486, -0.02273399382829666, 0.0844796672463417, 0.05164670944213867, 0.025872336700558662, -0.10834462940692902, -0.1290564388036728, 0.03639304265379906, -0.008049785159528255, -0.008198002353310585, -0.06773080676794052, 0.05472452566027641, -0.11466091871261597, 0.05531655624508858, 0.10909562557935715, 0.02152852900326252, 0.06476004421710968, -0.1000521183013916, 0.14490310847759247, 0.017945077270269394, -0.02654108591377735, 0.031681399792432785, 0.18417352437973022, 0.07291386276483536, 0.021600846201181412, -0.01816553808748722, -0.04788418114185333, 0.0031191676389425993]",高平市南城街道,ww279dh1bt7s
1729,35.8008,112.95,112.95,35.8008,"62,17,30,7,867,874,876,86,287,61,14,123,232,214,99,113,190,0,398,23,0,0,140",山西省晋城市高平市东城街道G55二广高速,高平市东城街道G55二广高速,高平市东城街道 广 高速,"[-0.035691771656274796, 0.03784306347370148, 0.0067005096934735775, -0.010849015787243843, -0.008378301747143269, -0.07625303417444229, 0.04364461451768875, 0.10172374546527863, -0.05646470561623573, -0.10255541652441025, -0.0038882573135197163, -0.1003146842122078, 0.012645833194255829, 0.024995211511850357, -0.05599597468972206, -0.018262328580021858, 0.0058707427233457565, 0.022319529205560684, -0.12402233481407166, -0.06774924695491791, -0.07417098432779312, 0.027721598744392395, 0.0725313201546669, -0.020342273637652397, 0.06364713609218597, 0.02151316963136196, 0.013413858599960804, -0.04239947721362114, -0.07993015646934509, 0.024507492780685425, -0.010503205470740795, -0.004219252150505781, -0.03608754649758339, 0.028109652921557426, -0.0683235228061676, 0.0426161028444767, 0.07373391091823578, 0.017574962228536606, 0.038484737277030945, -0.06676289439201355, 0.08164627850055695, 0.010583648458123207, -0.015711430460214615, 0.015702921897172928, 0.11130502820014954, 0.04365558549761772, 0.005804714281111956, -0.007750337012112141, -0.03358474746346474, 0.01865130476653576]",高平市东城街道,ww27djrdvbb6
1732,35.770792,112.92752,112.92752,35.770792,"139,50,63,8,866,882,875,71,290,49,8,137,238,245,110,96,324,2,454,18,0,0,108",山西省晋城市高平市南城街道南城街街道龙渠社区退役军人服务站,高平市南城街道南城街街道龙渠社区退役军人服务站,高平市南城街道南城街街道 龙渠 社区 退役 军人 服务站,"[0.017226092517375946, 0.08937791734933853, 0.042207375168800354, 0.015067989006638527, -0.00888569001108408, -0.023135580122470856, 0.0017592845251783729, -0.005805467255413532, -0.05309595540165901, -0.07800893485546112, -0.024763548746705055, -0.05684284120798111, -0.008056780323386192, 0.05799815431237221, -0.03135281056165695, -0.012952390126883984, 0.056462060660123825, 0.013028616085648537, -0.05856970325112343, 0.01600322499871254, 0.012286012060940266, -0.032089050859212875, 0.014039555564522743, 0.020335763692855835, 0.018815109506249428, 0.04356599599123001, 0.005003680475056171, 0.005772490985691547, -0.01087267603725195, 0.0073979939334094524, 0.016322797164320946, -0.06977856904268265, 0.061185162514448166, -0.029737837612628937, 0.01973017118871212, 0.032476723194122314, 0.0611078180372715, -0.019749809056520462, 0.02077813260257244, 0.03646664321422577, 0.008050234988331795, -0.037801168859004974, -0.06474611163139343, -0.040510743856430054, -0.007332307752221823, 0.04551464319229126, -0.05354427173733711, -0.052716076374053955, -0.004040405619889498, 0.04216418042778969]",高平市南城街道南城街街道,ww273xz7cyyj
1733,35.77605,112.94012,112.94012,35.77605,"123,47,46,8,867,884,880,93,316,68,13,157,272,288,141,130,333,2,497,22,0,0,129",山西省晋城市高平市南城街道新华街10号高平市痔瘘专科医院,高平市南城街道新华街10号高平市痔瘘专科医院,高平市南城街道 新华街 10号 高平市 痔瘘 专科 医院,"[-0.028125466778874397, 0.05716048926115036, 0.020200565457344055, -0.009626585990190506, -0.00966988317668438, -0.07891140133142471, 0.04331275075674057, 0.09022010862827301, -0.07241835445165634, -0.12202277034521103, 0.000653084774967283, -0.10057079046964645, 0.01620122790336609, 0.019030993804335594, -0.05883582681417465, 0.0008262762567028403, 0.015250303782522678, 0.018598513677716255, -0.14221148192882538, -0.054064370691776276, -0.06526672840118408, 0.03421030938625336, 0.06409664452075958, -0.008749852888286114, 0.045626450330019, 0.03758103400468826, 0.014970720745623112, -0.05438026785850525, -0.07718069851398468, 0.03345687687397003, 0.00032998708775267005, -0.0073510417714715, -0.0316581130027771, 0.029518190771341324, -0.07103437185287476, 0.039837829768657684, 0.07318810373544693, 0.016244394704699516, 0.03340820595622063, -0.0665232464671135, 0.07203162461519241, 0.002594385063275695, -0.011850117705762386, 0.013109677471220493, 0.12437823414802551, 0.04260389879345894, 0.020122865214943886, -0.01659102737903595, -0.04202640801668167, 0.013103269971907139]",高平市南城街道,ww27d0b6xe17
1734,35.770345,112.933795,112.933795,35.770345,"137,49,61,8,866,885,880,65,257,39,9,132,240,237,110,85,312,2,461,16,0,0,103",山西省晋城市高平市南城街道金顶鲜宁夏羊排烧烤火锅复合餐厅棒棒糖酒吧KTV(神农南路店),高平市南城街道金顶鲜宁夏羊排烧烤火锅复合餐厅棒棒糖酒吧KTV(神农南路店),高平市南城街道 金顶鲜 宁夏 羊排 烧烤 火锅 复合 餐厅 棒棒 糖酒 吧 神农南路 店,"[-0.07349850237369537, 0.11756632477045059, 0.025934256613254547, 0.001391026540659368, -0.03556080162525177, -0.20290417969226837, 0.09854192286729813, 0.24033106863498688, -0.16594797372817993, -0.2781444489955902, 0.008171146735548973, -0.2638077437877655, 0.06014660373330116, 0.05161813646554947, -0.14107370376586914, -0.01702798716723919, 0.03631852567195892, 0.049744997173547745, -0.3260866403579712, -0.1356377750635147, -0.15382951498031616, 0.07094480842351913, 0.1859237253665924, -0.04083244875073433, 0.15021847188472748, 0.08560305088758469, 0.03340316563844681, -0.1520252376794815, -0.19040003418922424, 0.06237626448273659, 0.00234816363081336, 0.006183576304465532, -0.11927999556064606, 0.07069020718336105, -0.16087424755096436, 0.08776569366455078, 0.18347086012363434, 0.03781765699386597, 0.08892801403999329, -0.13745220005512238, 0.21202705800533295, 0.027893701568245888, -0.02168133854866028, 0.04249735176563263, 0.2904190421104431, 0.13008877635002136, 0.028768211603164673, -0.02930949255824089, -0.09018369764089584, 0.011195730417966843]",高平市南城街道,ww273zgck5sg
1748,35.80461,112.90846,112.90846,35.80461,"90,9,27,9,864,877,874,103,365,72,16,180,283,309,115,151,229,0,423,30,0,0,209",山西省晋城市高平市北城街道太华路126号,高平市北城街道太华路126号,高平市北城街道 太华路 126 号,"[-0.03392389044165611, 0.05786341801285744, 0.01708671636879444, 0.00757605629041791, -0.006370711140334606, -0.09741304814815521, 0.05318418890237808, 0.12762662768363953, -0.08785191178321838, -0.13626134395599365, 0.009152375161647797, -0.1253095418214798, 0.015645036473870277, 0.02203754149377346, -0.06505272537469864, -0.013309665024280548, 0.012647299095988274, 0.018499484285712242, -0.16635897755622864, -0.06768345832824707, -0.0830407366156578, 0.04345676675438881, 0.08376719802618027, -0.02705206535756588, 0.08220435678958893, 0.05221632495522499, 0.027150653302669525, -0.0752299427986145, -0.09655221551656723, 0.03572051599621773, -0.008261450566351414, -0.011884582228958607, -0.05872826278209686, 0.03722269833087921, -0.08670949190855026, 0.04733685404062271, 0.08897621184587479, 0.02070174738764763, 0.047407831996679306, -0.07532426714897156, 0.11125035583972931, 0.009919842705130577, -0.01239690463989973, 0.02044089511036873, 0.1578846275806427, 0.06260481476783752, 0.008603469468653202, -0.007885635830461979, -0.04735316336154938, 0.005107874982059002]",高平市北城街道,ww279q12vz1f
1757,35.521388,112.822222,112.822222,35.521388,"246,62,99,33,853,887,873,140,421,75,35,172,303,399,258,134,868,2,898,77,0,14,374",山西省晋城市城区西上庄街道北环街,城区西上庄街道北环街,城区西上庄街道 北环街,"[-0.02339029684662819, 0.06104142963886261, 0.015854375436902046, -0.011356005445122719, -0.01952766440808773, -0.11233105510473251, 0.0695408284664154, 0.13486436009407043, -0.10176502913236618, -0.15839579701423645, 0.0011913507478311658, -0.14530257880687714, 0.027797630056738853, 0.036414358764886856, -0.08614161610603333, -0.026011282578110695, 0.022213401272892952, 0.019045406952500343, -0.17915673553943634, -0.09204716980457306, -0.09905507415533066, 0.03763430938124657, 0.1164340078830719, -0.023039503023028374, 0.07739371806383133, 0.04481835290789604, 0.018195785582065582, -0.09392571449279785, -0.12374584376811981, 0.03270747512578964, -0.010246993973851204, -0.0025040998589247465, -0.04845348745584488, 0.04276573657989502, -0.09400688856840134, 0.05690896883606911, 0.0945143774151802, 0.032937854528427124, 0.05868792533874512, -0.09318319708108902, 0.11606516689062119, 0.024785708636045456, -0.025116026401519775, 0.005701697431504726, 0.16377155482769012, 0.06948310136795044, 0.016157042235136032, -0.03099394217133522, -0.043221987783908844, 0.008830750361084938]",城区西上庄街道,ww24p66xh6dj
1761,35.498333,112.814444,112.814444,35.498333,"382,103,131,52,866,874,885,254,755,134,50,299,587,711,335,269,868,2,900,87,0,14,625",山西省晋城市城区西上庄街道西环路,城区西上庄街道西环路,城区西上庄街道 西环路,"[-0.023753121495246887, 0.043228570371866226, 0.006728342734277248, -0.0031279618851840496, -0.007452355697751045, -0.07207787781953812, 0.03356073796749115, 0.09086215496063232, -0.07365011423826218, -0.10098224133253098, -0.006106761284172535, -0.08825459331274033, 0.024428702890872955, 0.008445262908935547, -0.0462113656103611, -0.0027007372118532658, 0.013808106072247028, 0.016527976840734482, -0.11024107038974762, -0.05514352023601532, -0.06471186876296997, 0.02678118273615837, 0.06682118773460388, -0.012393212877213955, 0.05517163872718811, 0.03223862871527672, 0.02110174112021923, -0.0601608008146286, -0.07625006884336472, 0.012368966825306416, -0.00569995166733861, -0.0057764737866818905, -0.04442910477519035, 0.038383468985557556, -0.06275291740894318, 0.025944720953702927, 0.059373948723077774, 0.013241619803011417, 0.03257305175065994, -0.05562882497906685, 0.07448474317789078, 0.0024616089649498463, -0.003355204127728939, 0.007427304983139038, 0.10769806057214737, 0.049588583409786224, -0.0018683701055124402, -0.02008221298456192, -0.029805311933159828, 0.006330851931124926]",城区西上庄街道,ww21znkbz0fk
1762,35.522467,112.808873,112.808873,35.522467,"221,55,89,21,780,883,701,59,167,23,20,73,168,194,117,51,788,2,900,36,0,0,179",山西省晋城市城区西上庄街道晋城市公安局交通警察支队三大队西上庄中队,城区西上庄街道晋城市公安局交通警察支队三大队西上庄中队,城区西上庄街道 晋城市 公安局 交通 警察 支队 三 大队 西上庄 中队,"[-0.04830329120159149, 0.09212810546159744, 0.024377917870879173, -0.003288993379101157, -0.029672404751181602, -0.1619994193315506, 0.08005540072917938, 0.2118845134973526, -0.14745807647705078, -0.21962228417396545, -0.0030090701766312122, -0.22579392790794373, 0.04830259457230568, 0.040515583008527756, -0.1055031418800354, -0.01697024516761303, 0.020862320438027382, 0.04763345047831535, -0.25990670919418335, -0.11053183674812317, -0.14604973793029785, 0.06621239334344864, 0.1569032520055771, -0.01866387575864792, 0.12068824470043182, 0.06789125502109528, 0.04606868326663971, -0.1395222395658493, -0.1649453192949295, 0.032275840640068054, -0.006078664213418961, -0.009819325990974903, -0.0914897695183754, 0.09133000671863556, -0.12945570051670074, 0.06844203919172287, 0.16497062146663666, 0.024798505008220673, 0.07230141758918762, -0.12519901990890503, 0.14842121303081512, 0.008173367939889431, -0.02638542652130127, 0.008213718421757221, 0.23827123641967773, 0.11280672252178192, 0.01174819003790617, -0.027483494952321053, -0.04864544793963432, -0.0026451570447534323]",城区西上庄街道,ww24p48vm7b3
1767,35.5244,112.8337,112.8337,35.5244,"150,16,59,38,859,882,869,146,422,93,33,183,313,349,259,111,446,0,864,77,0,14,365",山西省晋城市城区西上庄街道闫庄小学,城区西上庄街道闫庄小学,城区西上庄街道 闫庄 小学,"[-0.019494453445076942, 0.04536827281117439, 0.011004391126334667, -0.0017361511709168553, -0.017012404277920723, -0.08273869752883911, 0.04726894572377205, 0.09153351187705994, -0.08215559273958206, -0.10058753937482834, 0.0013762933667749166, -0.09820930659770966, 0.019176149740815163, 0.01897510141134262, -0.05300598219037056, -0.007688907906413078, 0.018989959731698036, 0.02671700529754162, -0.1265065222978592, -0.06229061633348465, -0.06810183823108673, 0.02858494035899639, 0.06346344202756882, -0.019763333722949028, 0.05441955104470253, 0.024289820343255997, 0.017888644710183144, -0.05726718530058861, -0.07731547206640244, 0.030495811253786087, -0.004776934627443552, -0.00011127952893730253, -0.03366541862487793, 0.02926424890756607, -0.07029649615287781, 0.03616098687052727, 0.0641237422823906, 0.025067029520869255, 0.0506112203001976, -0.05689765885472298, 0.08245852589607239, 0.01685953512787819, -0.007570391055196524, 0.006767046172171831, 0.1056843250989914, 0.05460460111498833, 0.015104169957339764, -0.023856479674577713, -0.03212153911590576, -0.007020144257694483]",城区西上庄街道,ww24pe4bxu0u
1768,35.514166,112.828611,112.828611,35.514166,"345,67,123,66,855,877,879,277,821,177,52,332,630,764,399,317,867,0,899,108,0,14,701",山西省晋城市城区西街街道后书院路兰亭书院,城区西街街道后书院路兰亭书院,城区西街街道 后 书院路 兰亭 书院,"[-0.035760074853897095, 0.05484957993030548, 0.01598581112921238, -0.004188841674476862, -0.01343816053122282, -0.12022256851196289, 0.06978636980056763, 0.15288583934307098, -0.12006310373544693, -0.1532747447490692, 0.010339166037738323, -0.12324807047843933, 0.016287265345454216, 0.04268151894211769, -0.07151059061288834, -0.021221695467829704, 0.036621395498514175, 0.01997150108218193, -0.17688925564289093, -0.07675432413816452, -0.09154652804136276, 0.03619906306266785, 0.10940150916576385, -0.020025815814733505, 0.08208032697439194, 0.02967085875570774, 0.02348332293331623, -0.10233744978904724, -0.1011744812130928, 0.038645483553409576, 0.010524983517825603, -0.0017440790543332696, -0.05831955000758171, 0.05557037144899368, -0.09787838906049728, 0.04779796674847603, 0.10829474031925201, 0.015372075140476227, 0.061604760587215424, -0.07577325403690338, 0.1365332156419754, 0.023189514875411987, -0.01977449841797352, 0.021543623879551888, 0.17504310607910156, 0.09043936431407928, 0.008538640104234219, -0.02031605690717697, -0.06029999256134033, 0.008154110051691532]",城区西街街道,ww24p3pm10qh
1769,35.512222,112.830833,112.830833,35.512222,"353,55,117,75,857,878,880,304,855,196,56,368,703,822,414,351,866,0,899,118,0,14,769",山西省晋城市城区北街街道后书院路135号市政小区,城区北街街道后书院路135号市政小区,城区北街街道 后 书院路 135 号 市政 小区,"[-0.04179001227021217, 0.061483580619096756, 0.019576463848352432, -0.012529974803328514, -0.0006885313196107745, -0.11283301562070847, 0.06702272593975067, 0.14376410841941833, -0.10415729135274887, -0.167751282453537, 0.004744879435747862, -0.13738511502742767, 0.02295699343085289, 0.02360806055366993, -0.07531806826591492, -0.018881062045693398, 0.03157909959554672, 0.027939945459365845, -0.19256605207920074, -0.08612536638975143, -0.08302243798971176, 0.038691405206918716, 0.09786374121904373, -0.021306542679667473, 0.07423391938209534, 0.04112373664975166, 0.020728368312120438, -0.10001557320356369, -0.0953487902879715, 0.021517997607588768, -0.0013764766044914722, -0.017769506201148033, -0.06978771090507507, 0.0693124532699585, -0.08831440657377243, 0.049905505031347275, 0.08431428670883179, 0.02122451364994049, 0.05197842791676521, -0.07087169587612152, 0.1341961771249771, 0.020994758233428, -0.019903771579265594, 0.014612894505262375, 0.1638016402721405, 0.0749073177576065, 0.008593791164457798, -0.013152888976037502, -0.05560603737831116, 0.0016762064769864082]",城区北街街道,ww24p8bcsvyz
1771,35.4753,112.8988,112.8988,35.4753,"102,28,47,4,396,879,320,26,67,15,9,67,96,73,113,34,317,2,858,17,0,17,98",山西省晋城市泽州县金村镇G55二广高速,泽州县金村镇G55二广高速,泽州县金村镇 广 高速,"[-0.01611183024942875, 0.02230081520974636, -0.0007435028674080968, 0.0066652786917984486, -0.009601226076483727, -0.049848899245262146, 0.020550519227981567, 0.06455670297145844, -0.04335567727684975, -0.0591554157435894, 0.0046156542375683784, -0.0628613755106926, 0.012525878846645355, 0.02077074721455574, -0.0341610349714756, -0.0026686242781579494, -0.0016069476259872317, 0.012595827691257, -0.06897012144327164, -0.033818867057561874, -0.03737342730164528, 0.013016308657824993, 0.037019167095422745, -0.02060766890645027, 0.02928117848932743, 0.023152988404035568, 0.0027351262979209423, -0.036961350589990616, -0.04110891744494438, 0.017335480079054832, 0.0047360984608531, -0.002470086794346571, -0.030770525336265564, 0.010800723917782307, -0.03099033609032631, 0.024928465485572815, 0.03966036066412926, -0.002054438693448901, 0.027550404891371727, -0.022064290940761566, 0.04846503958106041, 0.008237581700086594, -0.017733808606863022, 0.0034257059451192617, 0.07222868502140045, 0.03528689965605736, 0.0096653513610363, -0.012291543185710907, -0.016899138689041138, -0.002259660977870226]",泽州县金村镇,ww23c446senz
1780,35.467777,112.886111,112.886111,35.467777,"116,39,48,5,444,619,375,23,97,14,11,80,125,146,110,35,248,2,900,17,0,0,133",山西省晋城市城区钟家庄街道208国道,城区钟家庄街道208国道,城区钟家庄街道 208 国道,"[-0.034266795963048935, 0.03584427759051323, -0.004141430836170912, -0.00554134463891387, -0.012033904902637005, -0.044264983385801315, 0.007803997490555048, 0.052245449274778366, -0.0599726177752018, -0.04948711022734642, -0.0014438967918977141, -0.044769287109375, 0.019942842423915863, 0.010134433396160603, -0.026592155918478966, -0.004664190113544464, 0.015920765697956085, 0.013485810719430447, -0.049482375383377075, -0.02219197154045105, -0.03256653994321823, 0.0012430440401658416, 0.047799814492464066, 0.008502823300659657, 0.03236711397767067, 0.02404593862593174, -0.012418994680047035, -0.02913828380405903, -0.03852612525224686, 0.02384941652417183, 0.012206872925162315, -0.009819703176617622, -0.031424008309841156, 0.031077472493052483, -0.03712707757949829, 0.011021249927580357, 0.03760094195604324, 0.01851493865251541, 0.027411572635173798, -0.03408834710717201, 0.045652590692043304, 0.005537193734198809, -0.007243651896715164, 0.010118680074810982, 0.050407104194164276, 0.033848922699689865, -0.008109202608466148, -0.014634041115641594, -0.007816280238330364, -0.0024612853303551674]",城区钟家庄街道,ww23bb9nv0c4
1793,35.436376,113.024167,113.024167,35.436376,"1,0,0,0,1,1,4,3,0,1,2,0,5,6,2,0,0,0,25,4,0,0,0",山西省晋城市泽州县柳树口镇G5512晋新高速,泽州县柳树口镇G5512晋新高速,泽州县柳树口镇 晋 新 高速,"[-0.02981388010084629, 0.03034309670329094, -0.003031844040378928, -0.018946567550301552, -0.006804084870964289, -0.08965037763118744, 0.05560680106282234, 0.1177326887845993, -0.07643017172813416, -0.10397442430257797, 0.01663864776492119, -0.0738491490483284, 0.033826541155576706, 0.0228811614215374, -0.07366097718477249, -0.012794503942131996, 0.015136308036744595, 0.006715127732604742, -0.13168326020240784, -0.0595274493098259, -0.0740543007850647, 0.003512768307700753, 0.07329822331666946, -0.021148335188627243, 0.06876953691244125, 0.01968568004667759, 0.038450345396995544, -0.08038567751646042, -0.08072486519813538, 0.033493973314762115, 0.008242628537118435, 0.007763901259750128, -0.029702890664339066, 0.022169791162014008, -0.06317000091075897, 0.04421627148985863, 0.07450373470783234, 0.034171972423791885, 0.048077527433633804, -0.0656522810459137, 0.0961761623620987, 0.016844097524881363, -0.004780943505465984, 0.01830352284014225, 0.11161082237958908, 0.034797582775354385, 0.006669269409030676, -0.008687867783010006, -0.03287836164236069, 0.002688055392354727]",泽州县柳树口镇,ww23efvxvgr0
1814,35.51011,112.84177,112.84177,35.51011,"247,30,70,79,853,855,864,374,863,224,56,429,821,852,464,392,861,0,900,127,0,32,856",山西省晋城市城区北街街道书院街117号晋城七中,城区北街街道书院街117号晋城七中,城区北街街道 书院街 117 号 晋城 七中,"[-0.06798940896987915, 0.10617123544216156, 0.04496508091688156, -0.0017061455873772502, -0.020739417523145676, -0.18960808217525482, 0.11062385141849518, 0.23297102749347687, -0.17134520411491394, -0.27409347891807556, 0.005545300431549549, -0.24053169786930084, 0.04859389364719391, 0.05859799310564995, -0.13692036271095276, -0.025443758815526962, 0.045173872262239456, 0.044049959629774094, -0.31807398796081543, -0.15279115736484528, -0.15180881321430206, 0.07318251579999924, 0.16473054885864258, -0.053773991763591766, 0.1348610520362854, 0.08040604740381241, 0.046531494706869125, -0.14351817965507507, -0.1833721101284027, 0.04646811634302139, -0.008653655648231506, -0.015384473837912083, -0.10562078654766083, 0.08499781787395477, -0.16269069910049438, 0.07317978143692017, 0.16605056822299957, 0.03765562176704407, 0.10452315956354141, -0.127809539437294, 0.2128267139196396, 0.036253128200769424, -0.02730303816497326, 0.038055647164583206, 0.2759743332862854, 0.11306264251470566, 0.013287817128002644, -0.024331124499440193, -0.07211867719888687, 0.005988295190036297]",城区北街街道,ww24pb2v7u61
1815,35.504722,112.859166,112.859166,35.504722,"243,47,72,65,859,877,878,335,876,240,51,452,870,862,526,422,863,0,899,130,0,49,860",山西省晋城市城区钟家庄街道西谢匠社区金座大厦(苑北路),城区钟家庄街道西谢匠社区金座大厦(苑北路),城区钟家庄街道 西谢匠 社区 金座大厦 苑北路,"[-0.044288959354162216, 0.11035968363285065, 0.027632668614387512, -0.0013776724226772785, -0.020700128749012947, -0.16134262084960938, 0.08647322654724121, 0.18401986360549927, -0.14260901510715485, -0.22748146951198578, 0.006338738836348057, -0.20442119240760803, 0.03375870734453201, 0.038042131811380386, -0.12244701385498047, -0.026262711733579636, 0.032818250358104706, 0.03257754072546959, -0.24787820875644684, -0.1176699846982956, -0.1197989210486412, 0.05322839692234993, 0.1376214474439621, -0.035556163638830185, 0.11930742859840393, 0.07048232108354568, 0.033608488738536835, -0.1185685470700264, -0.14147081971168518, 0.05426880344748497, 0.003405385185033083, -0.012731164693832397, -0.08719199895858765, 0.05812988802790642, -0.12165015935897827, 0.06895044445991516, 0.13740913569927216, 0.021380281075835228, 0.08435361087322235, -0.11394501477479935, 0.1668170690536499, 0.007984774187207222, -0.03418949618935585, 0.027409078553318977, 0.23773403465747833, 0.09727613627910614, 0.005356224253773689, -0.0261264406144619, -0.07306519895792007, 0.018148232251405716]",城区钟家庄街道,ww23bpmtcpvs
1817,35.335139,113.1222,113.1222,35.335139,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0",山西省晋城市泽州县柳树口镇G5512晋新高速,泽州县柳树口镇G5512晋新高速,泽州县柳树口镇 晋 新 高速,"[-0.03375076875090599, 0.042279813438653946, 0.0021267293486744165, -0.018774263560771942, -0.008645509369671345, -0.10647530853748322, 0.062237855046987534, 0.13782425224781036, -0.09151026606559753, -0.12458512932062149, 0.015132020227611065, -0.09326912462711334, 0.03626935929059982, 0.02739817276597023, -0.0874243751168251, -0.015662578865885735, 0.018302317708730698, 0.009630419313907623, -0.15863080322742462, -0.07160331308841705, -0.08670622855424881, 0.009963938035070896, 0.08587513864040375, -0.025747105479240417, 0.07608640193939209, 0.026589440181851387, 0.04105811193585396, -0.0948629230260849, -0.09594850242137909, 0.03701348230242729, 0.006866652052849531, 0.008937577717006207, -0.04212355241179466, 0.02972135879099369, -0.07897365838289261, 0.047439832240343094, 0.0864928662776947, 0.03943170979619026, 0.057267315685749054, -0.07481151819229126, 0.11294994503259659, 0.018766719847917557, -0.005864746868610382, 0.022618355229496956, 0.1356147974729538, 0.04196324944496155, 0.011517179198563099, -0.013115444220602512, -0.03965921327471733, 0.002431653207167983]",泽州县柳树口镇,ww23n0t4473f
1825,35.52693,112.845092,112.845092,35.52693,"92,6,42,26,861,884,875,101,319,62,31,163,281,276,211,84,339,0,868,66,0,0,301",山西省晋城市城区西上庄街道屋厦村,城区西上庄街道屋厦村,城区西上庄街道 屋厦村,"[-0.016476059332489967, 0.028614073991775513, 0.005207667592912912, -0.007657280191779137, -0.00875518936663866, -0.044231608510017395, 0.021233510226011276, 0.0509319081902504, -0.03687821328639984, -0.06881441175937653, 0.002421613782644272, -0.050532326102256775, 0.006220237817615271, 0.009485463611781597, -0.034037742763757706, -0.015693971887230873, 0.004825356416404247, 0.011899116449058056, -0.07122522592544556, -0.02902013435959816, -0.04016326367855072, 0.009930741041898727, 0.04276466742157936, -0.003469858318567276, 0.040722522884607315, 0.0230043213814497, 0.0006837474647909403, -0.03644537925720215, -0.0498802587389946, 0.007893647067248821, -0.008988671936094761, -0.0017200744478031993, -0.01671713963150978, 0.010298643261194229, -0.04082324355840683, 0.02394457347691059, 0.03185891732573509, 0.018208947032690048, 0.02426554448902607, -0.02564214915037155, 0.04698529094457626, 0.006357722450047731, -0.002581771230325103, 0.016288334503769875, 0.05985645949840546, 0.03546556085348129, 0.014070151373744011, -0.004751224536448717, -0.020570915192365646, -0.004268732853233814]",城区西上庄街道,ww24pg7r35z0
