,lon,lat
0,115.416875,40.444661
1,115.4181999,40.4451916
2,115.481076,39.981526
3,115.495228,40.021426
4,115.496418,40.030745
5,115.496996,40.030881
6,115.499326,40.029518
7,115.500765,40.02847
8,115.503269,40.025695
9,115.509127,40.024848
10,115.51088,40.020323
11,115.512377,40.40614
12,115.51271,40.888247
13,115.51339,40.021242
14,115.5210416,40.4277633
15,115.531725,40.884182
16,115.543735,39.922438
17,115.5551166,39.8616233
18,115.5725366,39.8382283
19,115.5744816,39.8363983
20,115.5773633,39.8352516
21,115.577785,39.807985
22,115.581133,39.812474
23,115.5820966,39.6574483
24,115.5823733,39.8314499
25,115.5824583,39.83088
26,115.5832666,39.8304183
27,115.585676,39.635858
28,115.5868766,39.8287816
29,115.5925333,39.8225766
30,115.5944949,39.8248749
31,115.5948416,39.8247866
32,115.5973016,39.8276416
33,115.60726,39.804915
34,115.6132516,39.9433166
35,115.6217732,39.9427633
36,115.624748333333,39.6383683333333
37,115.624795,39.6383733333333
38,115.624806666667,39.6383466666667
39,115.632052,39.77322
40,115.6371233,39.9948966
41,115.6372616,39.9973783
42,115.6383583,39.9954833
43,115.6384933,39.9956666
44,115.6393882,39.9967383
45,115.6396783,39.9515383
46,115.6402033,39.9969383
47,115.6726966,39.9676583
48,115.674879,39.962802
49,115.67575,39.60594
50,115.6809333,40.3432049
51,115.68536,39.595295
52,115.688418,39.732291
53,115.6986699,40.0064249
54,115.699741,40.31104
55,115.7038716,40.0258583
56,115.7044532,40.0630349
57,115.7045383,40.0267683
58,115.704668,39.977332
59,115.7124433,40.0703666
60,115.71506,40.0687316
61,115.7175,40.3169533
62,115.7184483,40.0687649
63,115.7186482,40.0689049
64,115.718917,40.31789
65,115.7189616,40.0690816
66,115.7199749,40.3168816
67,115.724183333333,39.9816666666667
68,115.729898,40.318415
69,115.7312816,40.0750649
70,115.739846,40.320111
71,115.7399049,40.0621549
72,115.742825,40.0493199
73,115.747715,39.9852283
74,115.747898,40.412516
75,115.749066666667,39.9860666666667
76,115.750699,39.751869
77,115.754015,40.353701
78,115.75525,40.0921649
